"X","Y","Z","Ux","Uy","Uz","exx","eyy","ezz","exz","eyz","exy","eHorz","eVol","eOctSh","Sxx","Syy","Szz","Sxz","Syz","Sxy","q","p","tOctSh","Mr","Poisson Ratio",
.001,0,.01,1.88,0,-19.15,96,-103,9,-110,0,0,-103,1,243,27.8,-36.9,.6,-5.9,0,0,51.1,-8.5,54,508000,.4,
1.001,0,.01,1.97,0,-20.17,96,-115,16,-55,0,0,-115,-4,196,25.2,-42.6,.6,-6.9,0,0,55.5,-16.8,57.1,508000,.4,
2.001,0,.01,2.07,0,-21.19,96,-129,22,0,0,0,-129,-11,187,21,-50.1,1.4,-7.4,0,0,61.3,-27.7,61.2,508000,.4,
3.001,0,.01,2.16,0,-22.24,83,-145,33,-28,0,0,-145,-29,201,17.8,-58.1,2.6,-7.6,0,0,68.3,-37.7,66.8,508000,.4,
4.001,0,.01,2.24,0,-23.35,83,-162,51,32,0,0,-162,-29,224,10.3,-68.4,3.7,-7.8,0,0,75.5,-54.4,72.5,508000,.4,
5.001,0,.01,2.3,0,-24.49,52,-180,72,31,0,0,-180,-57,234,-.8,-80.7,4.7,-7.9,0,0,82.7,-76.7,79.2,508000,.4,
6.001,0,.01,2.36,0,-25.71,51,-201,94,-120,0,0,-201,-56,325,-16.4,-96.4,3.2,-8.9,0,0,89.8,-109.5,87.4,508000,.4,
7.001,0,.01,2.41,0,-27.07,51,-223,116,-54,0,0,-223,-57,307,-32.8,-111.8,3.9,-9.6,0,0,97.4,-140.6,97.8,508000,.4,
8.000999,0,.01,2.44,0,-28.45,20,-249,161,-3,0,0,-249,-68,340,-59.1,-134.5,-1.9,-15,0,0,104.1,-195.5,111.4,508000,.4,
9.000999,0,.01,2.42,0,-29.91,-57,-273,137,-34,0,0,-273,-193,340,-114.8,-185.7,-48.5,-23.2,0,0,104.1,-349,118.2,508000,.4,
10.001,0,.01,2.34,0,-31.36,-103,-295,140,-84,0,0,-295,-258,381,-165.6,-230.7,-85.4,-9.8,0,0,105.2,-481.7,120,508000,.4,
11.001,0,.01,2.22,0,-32.71,-133,-313,181,-87,0,0,-313,-266,433,-192,-249.4,-84,-8.6,0,0,111.4,-525.4,137.9,508000,.4,
12.001,0,.01,2.06,0,-33.91,-176,-330,212,33,0,0,-330,-294,460,-214.4,-266.7,-85,-7.5,0,0,117,-566.1,153.2,508000,.4,
13.001,0,.01,1.88,0,-34.94,-190,-344,234,41,0,0,-344,-300,494,-231.5,-280.5,-85.2,-6.3,0,0,122.1,-597.2,166.2,508000,.4,
14.001,0,.01,1.68,0,-35.9,-209,-355,250,-88,0,0,-355,-314,535,-241.7,-289.8,-86.2,-4.3,0,0,125.9,-617.7,173.9,508000,.4,
15.001,0,.01,1.48,0,-36.74,-207,-365,246,31,0,0,-365,-326,520,-246.9,-297.2,-89.3,-7.3,0,0,129.1,-633.4,177.5,508000,.4,
16.001,0,.01,1.27,0,-37.41,-209,-377,266,41,0,0,-377,-320,549,-251.7,-303.6,-85.8,-5.1,0,0,134.9,-641,186,508000,.4,
17.001,0,.01,1.06,0,-37.96,-213,-390,273,-35,0,0,-390,-330,563,-251.2,-307.9,-84.5,-2.4,0,0,140.1,-643.6,189.7,508000,.4,
18.001,0,.01,.85,0,-38.39,-230,-400,276,-72,0,0,-400,-354,586,-250,-311,-84,-.5,0,0,143.9,-645,191.8,508000,.4,
19.001,0,.01,.64,0,-38.7,-187,-406,274,47,0,0,-406,-318,572,-245.9,-311.8,-83.9,.8,0,0,146.9,-641.6,191.6,508000,.4,
20.001,0,.01,.45,0,-38.87,-192,-411,262,-7,0,0,-411,-341,561,-241,-313.3,-88.8,1.1,0,0,148.4,-643.1,187.1,508000,.4,
21.001,0,.01,.29,0,-38.89,-151,-415,284,76,0,0,-415,-282,590,-212.5,-288,-52.1,13.9,0,0,155.7,-552.7,198,508000,.4,
22.001,0,.01,.14,0,-38.86,-142,-416,347,-84,0,0,-416,-211,646,-191.3,-266.4,-18.4,-3.2,0,0,161.5,-476.1,207.7,508000,.4,
23.001,0,.01,-.01,0,-38.98,-151,-414,272,-81,0,0,-414,-293,581,-221.7,-297.4,-66.8,-13.5,0,0,153.2,-585.9,193.3,508000,.4,
24.001,0,.01,-.19,0,-38.99,-192,-411,268,-11,0,0,-411,-334,566,-241.9,-313,-87.5,-.2,0,0,148.3,-642.5,188.3,508000,.4,
25.001,0,.01,-.38,0,-38.86,-210,-405,275,56,0,0,-405,-340,579,-246.1,-311.5,-83.6,.1,0,0,146.6,-641.2,191.6,508000,.4,
26.001,0,.01,-.59,0,-38.59,-198,-398,275,-2,0,0,-398,-320,564,-250.1,-310.6,-84.1,1.7,0,0,143.5,-644.8,191.5,508000,.4,
27.001,0,.01,-.79,0,-38.21,-213,-388,271,10,0,0,-388,-330,557,-251.2,-307.3,-84.6,3.8,0,0,139.4,-643.1,189.2,508000,.4,
28.001,0,.01,-1,0,-37.74,-207,-375,265,-85,0,0,-375,-316,559,-250,-302.5,-87,6.8,0,0,134,-639.6,183.8,508000,.4,
29.001,0,.01,-1.21,0,-37.11,-204,-363,247,36,0,0,-363,-320,520,-245,-295.9,-89.4,3.4,0,0,128.7,-630.3,175.8,508000,.4,
30.001,0,.01,-1.41,0,-36.33,-207,-354,246,47,0,0,-354,-314,516,-239.2,-288.1,-85.4,5.8,0,0,125.8,-612.7,173,508000,.4,
31.001,0,.01,-1.61,0,-35.47,-188,-343,230,-81,0,0,-343,-301,501,-227,-277.8,-85.2,7.5,0,0,121.7,-590,163.5,508000,.4,
32.001,0,.01,-1.78,0,-34.49,-153,-328,205,54,0,0,-328,-276,452,-208.8,-263.4,-85.1,8.6,0,0,116.4,-557.3,149.8,508000,.4,
33.001,0,.01,-1.92,0,-33.35,-130,-311,173,62,0,0,-311,-268,412,-185.4,-245.6,-83.6,9.8,0,0,111.1,-514.6,134.7,508000,.4,
34.001,0,.01,-2.03,0,-32.06,-100,-292,126,65,0,0,-292,-265,358,-154,-222.2,-79.2,14.6,0,0,105.6,-455.4,119.2,508000,.4,
35.001,0,.01,-2.09,0,-30.68,-13,-270,143,68,0,0,-270,-140,358,-98.9,-172.2,-34.2,23.8,0,0,105.6,-305.3,119.2,508000,.4,
36.001,0,.01,-2.1,0,-29.32,24,-245,147,32,0,0,-245,-74,332,-47.6,-126.4,3.5,12.3,0,0,104.4,-170.5,108.8,508000,.4,
37.001,0,.01,-2.06,0,-28.03,55,-220,110,81,0,0,-220,-56,317,-27.2,-108.8,3.2,10.5,0,0,96.8,-132.8,96.1,508000,.4,
38.001,0,.01,-2,0,-26.75,55,-198,88,149,0,0,-198,-56,353,-11,-93.3,3.5,9.7,0,0,89.6,-100.7,86.7,508000,.4,
39.001,0,.01,-1.94,0,-25.66,56,-178,65,-4,0,0,-178,-57,225,3.9,-78.4,4.5,8.9,0,0,82.6,-70,79.2,508000,.4,
40.001,0,.01,-1.87,0,-24.61,87,-161,45,0,0,0,-161,-29,216,15.1,-66.2,3.4,8.8,0,0,75.4,-47.7,73.2,508000,.4,
41.001,0,.01,-1.79,0,-23.59,87,-144,27,62,0,0,-144,-30,220,21,-56.8,2.3,8.7,0,0,68.4,-33.5,67.8,508000,.4,
42.001,0,.01,-1.69,0,-22.66,101,-129,19,16,0,0,-129,-9,192,24.3,-48.8,1.2,8.4,0,0,61.6,-23.3,62.6,508000,.4,
43.001,0,.01,-1.58,0,-21.75,104,-116,12,36,0,0,-116,0,190,28.5,-41.9,.7,7.9,0,0,56.4,-12.7,59.3,508000,.4,
44.001,0,.01,-1.48,0,-20.87,104,-104,5,96,0,0,-104,5,232,31.3,-36.2,.6,6.8,0,0,52.2,-4.3,56.4,508000,.4,
45.001,0,.01,-1.37,0,-20.1,115,-94,0,20,0,0,-94,21,173,34.1,-30.6,.6,5.8,0,0,50.6,4.1,53.7,508000,.4,
46.001,0,.01,-1.26,0,-19.38,87,-84,-5,-50,0,0,-84,-2,162,37,-25,.6,4.8,0,0,50.1,12.5,51.5,508000,.4,
47.001,0,.01,-1.17,0,-18.77,87,-76,-12,-3,0,0,-76,-1,135,39,-20.4,1.6,4.6,0,0,49.2,20.3,49.6,508000,.4,
48.001,0,.01,-1.08,0,-18.15,87,-70,-18,43,0,0,-70,0,148,41,-15.9,2.8,4.4,0,0,48.3,28,47.9,508000,.4,
49.001,0,.01,-.99,0,-17.68,94,-63,-18,-54,0,0,-63,13,158,43,-11.3,4,4.3,0,0,47.4,35.6,46.3,508000,.4,
