"X","Y","Z","Ux","Uy","Uz","exx","eyy","ezz","exz","eyz","exy","eHorz","eVol","eOctSh","Sxx","Syy","Szz","Sxz","Syz","Sxy","q","p","tOctSh","Mr","Poisson Ratio",
50.001,0,.01,-.9,0,-17.21,94,-57,-18,0,0,0,-57,18,128,44.7,-7,5.1,4.1,0,0,46.4,42.8,44.7,508000,.4,
51.001,0,.01,-.8,0,-16.75,94,-52,-18,53,0,0,-52,24,152,40.9,-7.1,4.2,3.9,0,0,43,37.9,41.5,508000,.4,
52.001,0,.01,-.71,0,-16.3,59,-47,-18,-54,0,0,-47,-6,126,37,-7.3,3.2,3.6,0,0,39.6,32.9,38.2,508000,.4,
53.001,0,.01,-.65,0,-15.99,59,-44,-17,-24,0,0,-44,-2,96,33.1,-7.5,2.3,3.3,0,0,36.2,27.9,35,508000,.4,
54.001,0,.01,-.6,0,-15.68,59,-41,-15,6,0,0,-41,3,86,29.8,-7.5,1.5,3.1,0,0,33.3,23.8,32.1,508000,.4,
55.001,0,.01,-.54,0,-15.38,59,-38,-14,36,0,0,-38,7,101,27.1,-7.4,.9,3,0,0,30.8,20.6,29.8,508000,.4,
56.001,0,.01,-.48,0,-15.07,59,-36,-13,66,0,0,-36,10,134,24.8,-7.3,.4,2.9,0,0,28.8,17.9,27.8,508000,.4,
57.001,0,.01,-.42,0,-14.78,62,-34,-11,58,0,0,-34,17,125,23.7,-7.4,.1,2.6,0,0,27.7,16.4,26.8,508000,.4,
58.001,0,.01,-.35,0,-14.51,62,-32,-10,89,0,0,-32,21,167,22.6,-7.5,-.1,2.4,0,0,26.7,15,25.9,508000,.4,
59.001,0,.01,-.29,0,-14.31,66,-30,-8,52,0,0,-30,28,119,21.4,-7.6,-.3,2.1,0,0,25.7,13.5,24.9,508000,.4,
60.001,0,.01,-.23,0,-14.16,39,-29,-7,-48,0,0,-29,2,96,20.3,-7.7,-.5,1.9,0,0,24.7,12.1,24,508000,.4,
61.001,0,.01,-.19,0,-14.09,39,-29,-7,-28,0,0,-29,3,72,19.2,-7.8,-.8,1.6,0,0,23.7,10.6,23.1,508000,.4,
62.001,0,.01,-.16,0,-14.08,35,-28,-7,-80,0,0,-28,0,142,18.1,-8,-1,1.4,0,0,22.7,9.2,22.2,508000,.4,
63.001,0,.01,-.12,0,-14.08,35,-28,-7,-63,0,0,-28,0,115,17,-8.1,-1.2,1.1,0,0,21.7,7.7,21.2,508000,.4,
64.001,0,.01,-.09,0,-14.08,35,-28,-7,-45,0,0,-28,0,90,15.9,-8.2,-1.4,.9,0,0,20.8,6.3,20.3,508000,.4,
65.001,0,.01,-.05,0,-14.08,35,-28,-7,-27,0,0,-28,0,69,14.7,-8.4,-1.8,.6,0,0,19.8,4.5,19.5,508000,.4,
66.001,0,.01,-.02,0,-14.08,35,-27,-7,-10,0,0,-27,0,54,13.7,-8.7,-2,.3,0,0,19.1,3,18.8,508000,.4,
67.001,0,.01,.02,0,-14.08,35,-27,-7,8,0,0,-27,0,54,13.7,-8.7,-2,-.2,0,0,19.1,3,18.8,508000,.4,
68.001,0,.01,.05,0,-14.08,35,-28,-7,26,0,0,-28,0,67,14.6,-8.4,-1.8,-.6,0,0,19.8,4.4,19.4,508000,.4,
69.001,0,.01,.09,0,-14.08,35,-28,-7,44,0,0,-28,0,88,15.8,-8.2,-1.5,-.9,0,0,20.7,6.1,20.3,508000,.4,
70.001,0,.01,.12,0,-14.08,35,-28,-7,61,0,0,-28,0,113,16.9,-8.1,-1.2,-1.1,0,0,21.7,7.6,21.2,508000,.4,
71.001,0,.01,.16,0,-14.08,35,-28,-7,79,0,0,-28,0,139,18,-8,-1,-1.4,0,0,22.7,9.1,22.1,508000,.4,
72.001,0,.01,.19,0,-14.08,39,-29,-7,26,0,0,-29,3,71,19.1,-7.9,-.8,-1.6,0,0,23.7,10.5,23,508000,.4,
73.001,0,.01,.23,0,-14.15,39,-29,-7,46,0,0,-29,3,94,20.3,-7.7,-.6,-1.9,0,0,24.6,12,23.9,508000,.4,
74.001,0,.01,.28,0,-14.29,66,-30,-8,-55,0,0,-30,28,122,21.4,-7.6,-.3,-2.1,0,0,25.7,13.4,24.9,508000,.4,
75.001,0,.01,.35,0,-14.49,62,-32,-9,-92,0,0,-32,21,170,22.5,-7.5,-.1,-2.4,0,0,26.7,14.9,25.8,508000,.4,
76.001,0,.01,.41,0,-14.76,62,-34,-11,-60,0,0,-34,17,128,23.6,-7.4,.1,-2.6,0,0,27.7,16.3,26.7,508000,.4,
77.001,0,.01,.47,0,-15.04,59,-36,-12,-68,0,0,-36,11,138,24.7,-7.3,.4,-2.9,0,0,28.7,17.8,27.7,508000,.4,
78.001,0,.01,.53,0,-15.35,59,-38,-14,-38,0,0,-38,7,104,26.9,-7.3,.8,-3,0,0,30.6,20.3,29.6,508000,.4,
79.001,0,.01,.59,0,-15.66,59,-41,-15,-8,0,0,-41,3,86,29.6,-7.5,1.4,-3.1,0,0,33.1,23.5,32,508000,.4,
80.001,0,.01,.65,0,-15.97,59,-44,-17,22,0,0,-44,-1,94,32.7,-7.5,2.2,-3.3,0,0,35.9,27.5,34.7,508000,.4,
81.001,0,.01,.71,0,-16.27,59,-47,-18,52,0,0,-47,-6,123,36.6,-7.3,3.1,-3.6,0,0,39.3,32.5,37.9,508000,.4,
82.001,0,.01,.8,0,-16.71,94,-51,-18,-58,0,0,-51,24,156,40.5,-7.1,4.1,-3.9,0,0,42.7,37.5,41.2,508000,.4,
83.001,0,.01,.89,0,-17.17,94,-57,-18,-4,0,0,-57,19,128,44.4,-7,5,-4.1,0,0,46.1,42.4,44.5,508000,.4,
84.001,0,.01,.98,0,-17.64,94,-62,-18,49,0,0,-62,13,154,43.1,-11,4.1,-4.3,0,0,47.3,36.2,46.1,508000,.4,
85.001,0,.01,1.08,0,-18.11,94,-69,-18,103,0,0,-69,7,216,41.1,-15.5,2.9,-4.4,0,0,48.2,28.5,47.7,508000,.4,
86.001,0,.01,1.16,0,-18.71,87,-76,-12,0,0,0,-76,0,134,39.2,-20,1.7,-4.6,0,0,49.1,20.9,49.5,508000,.4,
87.001,0,.01,1.25,0,-19.33,87,-84,-6,46,0,0,-84,-2,159,37.2,-24.6,.6,-4.7,0,0,50.1,13.2,51.3,508000,.4,
88.001,0,.01,1.36,0,-20.04,115,-93,0,-25,0,0,-93,21,175,34.3,-30.2,.6,-5.7,0,0,50.6,4.8,53.5,508000,.4,
89.001,0,.01,1.47,0,-20.79,104,-103,5,-101,0,0,-103,5,237,31.5,-35.8,.6,-6.8,0,0,51.9,-3.7,56.1,508000,.4,
90.001,0,.01,1.58,0,-21.67,104,-115,12,-42,0,0,-115,1,192,28.7,-41.4,.7,-7.8,0,0,56.1,-12.1,59,508000,.4,
91.001,0,.01,1.68,0,-22.58,101,-128,19,-21,0,0,-128,-8,192,24.7,-48.2,1.1,-8.4,0,0,61.1,-22.4,62.3,508000,.4,
92.001,0,.01,1.78,0,-23.5,87,-143,26,-68,0,0,-143,-30,223,21.2,-56.2,2.2,-8.7,0,0,67.9,-32.8,67.3,508000,.4,
93.001,0,.01,1.87,0,-24.52,87,-159,44,-5,0,0,-159,-29,215,15.9,-65.2,3.3,-8.8,0,0,74.8,-46,72.7,508000,.4,
94.001,0,.01,1.94,0,-25.57,56,-177,64,0,0,0,-177,-58,223,4.7,-77.4,4.4,-8.9,0,0,82,-68.3,78.6,508000,.4,
95.001,0,.01,1.99,0,-26.65,90,-197,86,-111,0,0,-197,-21,324,-9.8,-92.1,3.6,-9.6,0,0,89,-98.2,86.1,508000,.4,
96.001,0,.01,2.05,0,-27.92,55,-218,108,-87,0,0,-218,-55,319,-25.9,-107.6,2.9,-10.5,0,0,96.1,-130.5,95.2,508000,.4,
97.001,0,.01,2.09,0,-29.21,24,-243,143,-39,0,0,-243,-76,329,-44.1,-123.4,5.5,-11,0,0,104.1,-161.9,107.6,508000,.4,
98.001,0,.01,2.09,0,-30.57,-13,-268,145,-72,0,0,-268,-135,360,-93.7,-167.3,-29.2,-23.7,0,0,105.8,-290.1,119.3,508000,.4,
99.001,0,.01,2.04,0,-31.94,-100,-290,122,-57,0,0,-290,-268,350,-150.3,-219,-76.9,-16,0,0,105.4,-446.1,118.9,508000,.4,
100.001,0,.01,1.93,0,-33.24,-130,-309,170,-54,0,0,-309,-269,405,-183.3,-244.1,-83.7,-9.9,0,0,110.6,-511,133.2,508000,.4,
101.001,0,.01,1.79,0,-34.39,-153,-327,202,-46,0,0,-327,-277,446,-207.1,-262,-85.1,-8.7,0,0,115.9,-554.2,148.5,508000,.4,
102.001,0,.01,1.62,0,-35.39,-188,-342,228,90,0,0,-342,-301,503,-225.7,-276.7,-85.2,-7.6,0,0,121.3,-587.6,162.5,508000,.4,
103.001,0,.01,1.43,0,-36.25,-207,-353,245,-38,0,0,-353,-315,513,-238.3,-287.3,-85.4,-5.9,0,0,125.4,-611,172.2,508000,.4,
104.001,0,.01,1.22,0,-37.04,-204,-362,248,-27,0,0,-362,-319,519,-244.6,-295.3,-89.4,-3.3,0,0,128.3,-629.4,175.3,508000,.4,
105.001,0,.01,1.02,0,-37.68,-204,-373,263,-41,0,0,-373,-315,542,-249.6,-301.9,-87.5,-7,0,0,133.4,-639,182.9,508000,.4,
106.001,0,.01,.81,0,-38.16,-213,-387,270,-2,0,0,-387,-330,555,-251.1,-306.8,-84.7,-4,0,0,138.9,-642.6,188.8,508000,.4,
107.001,0,.01,.6,0,-38.55,-198,-397,275,10,0,0,-397,-320,563,-250,-310.2,-84.1,-1.8,0,0,143.2,-644.3,191.2,508000,.4,
108.001,0,.01,.39,0,-38.83,-210,-404,275,-47,0,0,-404,-339,576,-246.4,-311.3,-83.7,-.2,0,0,146.3,-641.3,191.5,508000,.4,
109.001,0,.01,.2,0,-38.97,-192,-410,270,21,0,0,-410,-332,568,-242,-312.6,-87,.2,0,0,148.2,-641.6,188.5,508000,.4,
110.001,0,.01,.02,0,-38.97,-151,-413,268,86,0,0,-413,-297,578,-223.2,-298.8,-69.3,12.2,0,0,152.6,-591.4,192,508000,.4,
111.001,0,.01,-.13,0,-38.85,-142,-415,339,80,0,0,-415,-217,637,-190.5,-265.7,-17.9,6.1,0,0,161.5,-474.1,207.7,508000,.4,
112.001,0,.01,-.27,0,-38.87,-151,-415,289,-68,0,0,-415,-277,591,-208,-283.5,-45.7,-13.8,0,0,156.7,-537.3,199.7,508000,.4,
113.001,0,.01,-.43,0,-38.87,-192,-411,259,20,0,0,-411,-344,559,-238.2,-311.1,-86.4,-2.7,0,0,148.8,-635.7,187.3,508000,.4,
114.001,0,.01,-.63,0,-38.7,-187,-406,274,-34,0,0,-406,-319,569,-245.3,-311.7,-84,-.9,0,0,147.1,-640.9,191.3,508000,.4,
115.001,0,.01,-.83,0,-38.42,-210,-400,276,-38,0,0,-400,-334,572,-249.5,-310.9,-84,.3,0,0,144.2,-644.4,191.6,508000,.4,
116.001,0,.01,-1.03,0,-38,-213,-390,273,47,0,0,-390,-331,566,-250.5,-307.8,-84.4,2.2,0,0,140.3,-642.7,189.5,508000,.4,
117.001,0,.01,-1.25,0,-37.45,-209,-378,266,-27,0,0,-378,-321,548,-251.9,-304,-85.3,4.7,0,0,135.4,-641.2,186.7,508000,.4,
118.001,0,.01,-1.45,0,-36.79,-207,-366,248,-18,0,0,-366,-324,521,-247.3,-297.8,-89.3,7.3,0,0,129.5,-634.4,178,508000,.4,
119.001,0,.01,-1.66,0,-35.97,-209,-355,251,101,0,0,-355,-314,542,-242.2,-290.5,-86.7,4,0,0,126.1,-619.3,174,508000,.4,
.001,0,.11,1.79,0,-19.15,90,-98,9,-111,0,0,-98,0,238,27.8,-36.9,.6,-5.9,0,0,51.1,-8.5,54,508000,.4,
1.001,0,.11,1.88,0,-20.17,90,-110,16,-56,0,0,-110,-4,188,25.2,-42.6,.6,-6.9,0,0,55.5,-16.8,57.1,508000,.4,
2.001,0,.11,1.97,0,-21.19,90,-123,22,-1,0,0,-123,-10,177,21,-50.1,1.4,-7.4,0,0,61.3,-27.7,61.2,508000,.4,
3.001,0,.11,2.05,0,-22.24,77,-137,33,-30,0,0,-137,-27,191,17.8,-58.1,2.6,-7.6,0,0,68.3,-37.7,66.8,508000,.4,
4.001,0,.11,2.13,0,-23.35,77,-153,51,30,0,0,-153,-26,212,10.3,-68.4,3.7,-7.8,0,0,75.5,-54.4,72.5,508000,.4,
5.001,0,.11,2.18,0,-24.5,47,-170,72,28,0,0,-170,-51,223,-.8,-80.7,4.7,-7.9,0,0,82.7,-76.7,79.2,508000,.4,
6.001,0,.11,2.23,0,-25.72,45,-190,94,-122,0,0,-190,-51,317,-16.4,-96.4,3.2,-8.9,0,0,89.8,-109.5,87.4,508000,.4,
7.001,0,.11,2.28,0,-27.08,45,-211,116,-56,0,0,-211,-50,295,-32.8,-111.8,3.9,-9.6,0,0,97.4,-140.6,97.8,508000,.4,
8.000999,0,.11,2.3,0,-28.46,12,-234,161,-8,0,0,-234,-61,325,-59.1,-134.5,-1.9,-15,0,0,104.1,-195.5,111.4,508000,.4,
9.000999,0,.11,2.27,0,-29.93,-52,-256,137,-30,0,0,-256,-170,325,-114.8,-185.7,-48.5,-23.2,0,0,104.1,-349,118.2,508000,.4,
10.001,0,.11,2.21,0,-31.38,-92,-276,140,-90,0,0,-276,-228,371,-165.6,-230.7,-85.4,-9.8,0,0,105.2,-481.7,120,508000,.4,
11.001,0,.11,2.1,0,-32.73,-122,-294,181,-91,0,0,-294,-235,420,-192,-249.4,-84,-8.6,0,0,111.4,-525.4,137.9,508000,.4,
12.001,0,.11,1.95,0,-33.93,-164,-311,212,31,0,0,-311,-262,443,-214.4,-266.7,-85,-7.5,0,0,117,-566.1,153.2,508000,.4,
13.001,0,.11,1.79,0,-34.96,-178,-324,234,39,0,0,-324,-267,477,-231.5,-280.5,-85.2,-6.3,0,0,122.1,-597.2,166.2,508000,.4,
14.001,0,.11,1.6,0,-35.92,-196,-334,250,-90,0,0,-334,-281,519,-241.7,-289.8,-86.2,-4.3,0,0,125.9,-617.7,173.9,508000,.4,
15.001,0,.11,1.4,0,-36.76,-195,-343,246,28,0,0,-343,-292,502,-246.9,-297.2,-89.3,-7.3,0,0,129.1,-633.4,177.5,508000,.4,
16.001,0,.11,1.21,0,-37.44,-196,-355,266,40,0,0,-355,-286,531,-251.7,-303.6,-85.8,-5.1,0,0,134.9,-641,186,508000,.4,
17.001,0,.11,1.01,0,-37.99,-201,-367,273,-36,0,0,-367,-295,545,-251.2,-307.9,-84.5,-2.4,0,0,140.1,-643.6,189.7,508000,.4,
18.001,0,.11,.82,0,-38.42,-217,-376,276,-73,0,0,-376,-317,568,-250,-311,-84,-.5,0,0,143.9,-645,191.8,508000,.4,
19.001,0,.11,.62,0,-38.73,-174,-381,274,47,0,0,-381,-281,553,-245.9,-311.8,-83.9,.8,0,0,146.9,-641.6,191.6,508000,.4,
20.001,0,.11,.44,0,-38.9,-179,-385,262,-4,0,0,-385,-302,540,-241,-313.3,-88.8,1.1,0,0,148.4,-643.1,187.1,508000,.4,
21.001,0,.11,.28,0,-38.92,-144,-388,284,70,0,0,-388,-248,568,-212.5,-288,-52.1,13.9,0,0,155.7,-552.7,198,508000,.4,
22.001,0,.11,.13,0,-38.89,-146,-389,347,-76,0,0,-389,-188,625,-191.3,-266.4,-18.4,-3.2,0,0,161.5,-476.1,207.7,508000,.4,
23.001,0,.11,-.01,0,-39.01,-144,-387,272,-76,0,0,-387,-259,559,-221.7,-297.4,-66.8,-13.5,0,0,153.2,-585.9,193.3,508000,.4,
24.001,0,.11,-.18,0,-39.02,-179,-385,268,-14,0,0,-385,-296,546,-241.9,-313,-87.5,-.2,0,0,148.3,-642.5,188.3,508000,.4,
25.001,0,.11,-.36,0,-38.89,-197,-381,275,56,0,0,-381,-303,560,-246.1,-311.5,-83.6,.1,0,0,146.6,-641.2,191.6,508000,.4,
26.001,0,.11,-.56,0,-38.62,-186,-374,275,-2,0,0,-374,-286,546,-250.1,-310.6,-84.1,1.7,0,0,143.5,-644.8,191.5,508000,.4,
27.001,0,.11,-.75,0,-38.23,-201,-365,271,11,0,0,-365,-295,539,-251.2,-307.3,-84.6,3.8,0,0,139.4,-643.1,189.2,508000,.4,
28.001,0,.11,-.95,0,-37.76,-194,-353,265,-84,0,0,-353,-282,542,-250,-302.5,-87,6.8,0,0,134,-639.6,183.8,508000,.4,
29.001,0,.11,-1.14,0,-37.13,-192,-342,247,35,0,0,-342,-287,503,-245,-295.9,-89.4,3.4,0,0,128.7,-630.3,175.8,508000,.4,
30.001,0,.11,-1.33,0,-36.35,-194,-333,246,48,0,0,-333,-281,500,-239.2,-288.1,-85.4,5.8,0,0,125.8,-612.7,173,508000,.4,
31.001,0,.11,-1.51,0,-35.49,-175,-323,230,-79,0,0,-323,-268,484,-227,-277.8,-85.2,7.5,0,0,121.7,-590,163.5,508000,.4,
32.001,0,.11,-1.67,0,-34.51,-142,-309,205,57,0,0,-309,-245,438,-208.8,-263.4,-85.1,8.6,0,0,116.4,-557.3,149.8,508000,.4,
33.001,0,.11,-1.81,0,-33.36,-118,-292,173,65,0,0,-292,-238,398,-185.4,-245.6,-83.6,9.8,0,0,111.1,-514.6,134.7,508000,.4,
34.001,0,.11,-1.91,0,-32.07,-88,-273,126,71,0,0,-273,-235,347,-154,-222.2,-79.2,14.6,0,0,105.6,-455.4,119.2,508000,.4,
35.001,0,.11,-1.96,0,-30.7,-17,-253,143,65,0,0,-253,-127,342,-98.9,-172.2,-34.2,23.8,0,0,105.6,-305.3,119.2,508000,.4,
36.001,0,.11,-1.97,0,-29.33,16,-230,147,37,0,0,-230,-67,319,-47.6,-126.4,3.5,12.3,0,0,104.4,-170.5,108.8,508000,.4,
37.001,0,.11,-1.94,0,-28.04,48,-208,110,83,0,0,-208,-50,306,-27.2,-108.8,3.2,10.5,0,0,96.8,-132.8,96.1,508000,.4,
38.001,0,.11,-1.89,0,-26.76,48,-188,88,151,0,0,-188,-52,346,-11,-93.3,3.5,9.7,0,0,89.6,-100.7,86.7,508000,.4,
39.001,0,.11,-1.83,0,-25.67,51,-169,65,-2,0,0,-169,-53,214,3.9,-78.4,4.5,8.9,0,0,82.6,-70,79.2,508000,.4,
40.001,0,.11,-1.77,0,-24.61,80,-152,45,2,0,0,-152,-27,205,15.1,-66.2,3.4,8.8,0,0,75.4,-47.7,73.2,508000,.4,
41.001,0,.11,-1.69,0,-23.59,80,-137,27,64,0,0,-137,-29,212,21,-56.8,2.3,8.7,0,0,68.4,-33.5,67.8,508000,.4,
42.001,0,.11,-1.6,0,-22.66,95,-122,19,17,0,0,-122,-8,182,24.3,-48.8,1.2,8.4,0,0,61.6,-23.3,62.6,508000,.4,
43.001,0,.11,-1.5,0,-21.75,98,-110,12,37,0,0,-110,0,181,28.5,-41.9,.7,7.9,0,0,56.4,-12.7,59.3,508000,.4,
44.001,0,.11,-1.4,0,-20.87,98,-99,5,97,0,0,-99,4,226,31.3,-36.2,.6,6.8,0,0,52.2,-4.3,56.4,508000,.4,
45.001,0,.11,-1.3,0,-20.1,109,-89,0,20,0,0,-89,19,165,34.1,-30.6,.6,5.8,0,0,50.6,4.1,53.7,508000,.4,
